LocalTime;Power(kW)
01/07/2006 19:00;0
01/07/2006 19:05;0
01/07/2006 19:10;0
01/07/2006 19:15;0
01/07/2006 19:20;0
01/07/2006 19:25;0
01/07/2006 19:30;0
01/07/2006 19:35;0
01/07/2006 19:40;0
01/07/2006 19:45;0
01/07/2006 19:50;0
01/07/2006 19:55;0
01/07/2006 20:00;0
01/07/2006 20:05;0
01/07/2006 20:10;0
01/07/2006 20:15;0
01/07/2006 20:20;0
01/07/2006 20:25;0
01/07/2006 20:30;0
01/07/2006 20:35;0
01/07/2006 20:40;0
01/07/2006 20:45;0
01/07/2006 20:50;0
01/07/2006 20:55;0
01/07/2006 21:00;0
01/07/2006 21:05;0
01/07/2006 21:10;0
01/07/2006 21:15;0
01/07/2006 21:20;0
01/07/2006 21:25;0
01/07/2006 21:30;0
01/07/2006 21:35;0
01/07/2006 21:40;0
01/07/2006 21:45;0
01/07/2006 21:50;0
01/07/2006 21:55;0
01/07/2006 22:00;0
01/07/2006 22:05;0
01/07/2006 22:10;0
01/07/2006 22:15;0
01/07/2006 22:20;0
01/07/2006 22:25;0
01/07/2006 22:30;0
01/07/2006 22:35;0
01/07/2006 22:40;0
01/07/2006 22:45;0
01/07/2006 22:50;0
01/07/2006 22:55;0
01/07/2006 23:00;0
01/07/2006 23:05;0
01/07/2006 23:10;0
01/07/2006 23:15;0
01/07/2006 23:20;0
01/07/2006 23:25;0
01/07/2006 23:30;0
01/07/2006 23:35;0
01/07/2006 23:40;0
01/07/2006 23:45;0
01/07/2006 23:50;0
01/07/2006 23:55;0
